uniqid,isocntry,d11,d70,sd18a,sd18b,d1,d7,d9a_1,d9a_2,d9a_3,d9a_4,d9a_5,d9a_6,d9a_7,d9a_8,d9a_9,d9a_10,d9a_11,d9a_12,d9a_13,d10,d25,d40b_r,d63
20001016,AT,55,Fairly satisfied,Fairly satisfied,Not at all satisfied,Box 3,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The working class of society
20001017,AT,48,Fairly satisfied,Fairly satisfied,Not very satisfied,Box 8,Single liv w partner: childr this/prev union,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The lower middle class of society
20001018,AT,66,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 8,Divorced/Separated: without children,Not mentioned,Not mentioned,Not mentioned,Upper secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The lower middle class of society
20001019,AT,51,Fairly satisfied,Fairly satisfied,Don't know (SPONTANEOUS),Box 3,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The working class of society
20001020,AT,34,Not very satisfied,Not very satisfied,Not very satisfied,Box 10 - right,Single liv w partner: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The working class of society
20001021,AT,48,Fairly satisfied,Fairly satisfied,Not very satisfied,Box 1 - left,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Upper secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The working class of society
20001022,AT,56,Not very satisfied,Fairly satisfied,Don't know (SPONTANEOUS),Box 8,Divorced/Separated: with children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The working class of society
20001023,AT,71,Not very satisfied,Fairly satisfied,Not very satisfied,Box 6,Widow: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Bachelor or equivalent,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,Refusal (SPONT.)
20001024,AT,61,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 5,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Bachelor or equivalent,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The middle class of society
20001025,AT,26,Fairly satisfied,Fairly satisfied,Not very satisfied,Box 6,Single liv w partner: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,None (SPONT.)
20001026,AT,38,Fairly satisfied,Fairly satisfied,Not very satisfied,Box 3,Divorced/Separated: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Bachelor or equivalent,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,DK (SPONT.)
20001027,AT,21,Very satisfied,Fairly satisfied,Don't know (SPONTANEOUS),Box 3,Single: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The middle class of society
20001028,AT,44,Fairly satisfied,Not very satisfied,Not very satisfied,Box 7,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The lower middle class of society
20001029,AT,22,Fairly satisfied,Fairly satisfied,Not at all satisfied,Box 3,Single: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,None (SPONT.)
20001030,AT,32,Fairly satisfied,Fairly satisfied,Don't know (SPONTANEOUS),Box 5,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Bachelor or equivalent,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The middle class of society
20001031,AT,23,Fairly satisfied,Fairly satisfied,Fairly satisfied,Box 3,Single: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,None (SPONT.)
20001032,AT,62,Fairly satisfied,Fairly satisfied,Not very satisfied,Box 5,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Master or equivalent,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The middle class of society
20001033,AT,70,Fairly satisfied,Fairly satisfied,Don't know (SPONTANEOUS),Box 6,Single liv w partner: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The lower middle class of society
20001034,AT,56,Very satisfied,Fairly satisfied,Fairly satisfied,Box 6,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Master or equivalent,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The middle class of society
20001035,AT,59,Very satisfied,Fairly satisfied,Not very satisfied,Box 6,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Master or equivalent,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The upper middle class of society
20001036,AT,19,Very satisfied,Very satisfied,Fairly satisfied,Box 10 - right,Single: with children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The middle class of society
20001037,AT,68,Fairly satisfied,Not very satisfied,Not very satisfied,Box 6,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The lower middle class of society
20001038,AT,57,Very satisfied,Very satisfied,Not very satisfied,Box 10 - right,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The lower middle class of society
20001039,AT,41,Fairly satisfied,Fairly satisfied,Very satisfied,Box 5,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The lower middle class of society
20001040,AT,39,Very satisfied,Fairly satisfied,Very satisfied,Box 2,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,Two,The working class of society
20001041,AT,17,Very satisfied,Fairly satisfied,Not very satisfied,Box 6,Single: without children,Not mentioned,Not mentioned,Not mentioned,Upper secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,None (SPONT.)
20001042,AT,69,Very satisfied,Fairly satisfied,Not very satisfied,Box 3,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Upper secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Small/middle town,None,The working class of society
20001043,AT,61,Not very satisfied,Not very satisfied,Not very satisfied,Box 6,Single liv w partner: without children,Not mentioned,Not mentioned,Not mentioned,Upper secondary education,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Small/middle town,None,The working class of society
20001044,AT,47,Very satisfied,Very satisfied,Very satisfied,Box 1 - left,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Small/middle town,None,The middle class of society
20001045,AT,42,Very satisfied,Fairly satisfied,Not very satisfied,Box 5,(Re-)Married: children this marriage,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Small/middle town,One,The working class of society
20001046,AT,49,Fairly satisfied,Not at all satisfied,Not at all satisfied,Box 8,Divorced/Separated: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Small/middle town,None,The lower middle class of society
20001047,AT,65,Fairly satisfied,Not very satisfied,Fairly satisfied,Box 4,(Re-)Married: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Short-cycle tertiary,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Man,Large town,None,The middle class of society
20001048,AT,64,Not at all satisfied,Fairly satisfied,Fairly satisfied,Box 6,Widow: without children,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Post-secondary non tertiary (including pre-vocational or vocational education),Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Not mentioned,Woman,Large town,None,The working class of society
